,table,filedName
0,salaire,complement2
1,salaire,commentaire
2,salaire,libelle
3,salaire,complement1
4,salaire,salaire_id
0,entreprise,nom
1,entreprise,entreprise_id
2,entreprise,entrepriseAdaptee
0,lieuTravail,longitude
1,lieuTravail,libelle
2,lieuTravail,lieuTravail_id
3,lieuTravail,latitude
4,lieuTravail,commune
5,lieuTravail,codePostal
0,contact,courriel
1,contact,coordonnees1
2,contact,nom
3,contact,urlPostulation
4,contact,contact_id
0,competence,exigence
1,competence,libelle
2,competence,code
3,competence,competence_id
0,job,qualificationLibelle
1,job,alternance
2,job,offresManqueCandidats
3,job,codeNAF
4,job,typeContrat
5,job,contact_id
6,job,dateActualisation
7,job,intitule
8,job,dureeTravailLibelleConverti
9,job,accessibleTH
10,job,qualificationCode
11,job,qualitesProfessionnelles
12,job,competence_id
13,job,romeLibelle
14,job,secteurActiviteLibelle
15,job,deplacementLibelle
16,job,description
17,job,salaire_id
18,job,secteurActivite
19,job,agence
20,job,dureeTravailLibelle
21,job,appellationlibelle
22,job,experienceLibelle
23,job,lieuTravail_id
24,job,id
25,job,natureContrat
26,job,dateCreation
27,job,competences
28,job,experienceExige
29,job,typeContratLibelle
30,job,origineOffre
31,job,entreprise_id
32,job,deplacementCode
33,job,nombrePostes
34,job,romeCode
